recipe,n,tot,ann,vol,sh,mdd,cal
x10_v6__K30__mcap,806,12.26969993285837,0.18152428290624156,0.17787233153223572,1.0205313065980923,-0.3815744068218023,0.47572447119341144
x8_v6_60_40__K30__mcap,806,13.383795464581102,0.18768566869369674,0.18424189637611119,1.0186915809342054,-0.39725789875047957,0.47245295633903406
x9_v6_40_60__K30__equal,806,13.370654256754811,0.18761563335043951,0.1875468712243083,1.0003666396868278,-0.4364903814818044,0.4298276464043011
x4_ep_roe_roic__K100__mcap,806,10.004073748742705,0.16733901144497465,0.16761539492465885,0.9983510853534162,-0.3351943389799046,0.49922982576089053
x10_v6__K50__mcap,806,10.454225441537313,0.17036242320476824,0.1712692425178365,0.9947052996805669,-0.3729929218746064,0.4567443863238806
x7_v6_plus_fcf_margin__K100__mcap,806,10.532714834777282,0.17087818104010566,0.17243456790655032,0.990974043746912,-0.35976605797100447,0.47497026818988486
x10_v6__K30__equal,806,14.575191060675259,0.1937989319017599,0.1956718847188499,0.9904280943591813,-0.456018525011317,0.4249803928402917
x9_v6_40_60__K30__mcap,806,10.452423765441436,0.17035054552490947,0.1725225261504676,0.9874104519912733,-0.38533075581193965,0.442089147973563
x9_v6_40_60__K100__mcap,806,10.018135246887766,0.1674351912651415,0.17102849603100212,0.9789900230122514,-0.3713371221724988,0.45089806881026595
x9_v6_40_60__K50__mcap,806,9.562794030141712,0.16426072127635694,0.16841195582290414,0.9753507135151824,-0.3601776307345328,0.45605475537547896
x10_v6__K100__mcap,806,9.840557521545087,0.16621204800476552,0.17227620848701966,0.9647997797518799,-0.3818794550436333,0.43524742116795534
x4_ep_roe_roic__K30__equal,806,11.353598897627888,0.17608386032179024,0.1831803255418208,0.9612596756827447,-0.3915312100783157,0.44973135165027894
x4_ep_roe_roic__K50__mcap,806,9.516907246142987,0.1639337486413992,0.17087136647900056,0.9593985933362688,-0.3456571636864285,0.4742668917752151
x4_ep_roe_roic__K30__mcap,806,9.727148390820991,0.1654210478515017,0.17471436685955435,0.9468085013551107,-0.33974933162804266,0.48689145923796706
